cust_name,cust_site_id,tca_system_id,gss_qry_vrsn,LogDate,LogDOW,LogTime,Timestamp,Hour,Minute10,RSSInterval,NodeGen,AMPS,CPUs,DBSRelease,PMCOD,WMCOD,IOCOD,MinMemSizeGB,MaxMemSizeGB,NumNodes,AvgCPUBusy,MaxCPUBusy,AvgPctOSCPU,MaxPctOSCPU,AvgPctIOWait,AvgRunQSz,MaxRunQSz,MaxPctIOWait,PctReadsCnt,PctReadsKB,AvgPosReadSec,AvgPreReadSec,AvgWriteSec,AvgIOPsSec,MaxIOPsSec,AvgMBSecNode,MaxMBSecNode,AvgReadMBSecNode,AvgWriteMBSecNode,TtlMBSecGen,TtlReadMBSecGen,TtlWriteMBSecGen,TtlPosReadSecGen,TtlPreReadSecGen,TtlWriteSecGen,KBRead,KBWrite,PermCacheEffKB,SpoolCacheEffKB,TotalCacheEffKB,PermCacheEffCnt,SpoolCacheEffCnt,PermDBCacheEffCnt,PermCICacheEffCnt,SpoolDBCacheEffCnt,SpoolCICacheEffCnt,LogPermDBSecNode_SVPR,LogPermCISecNode_SVPR,LogSpoolDBSecNode_SVPR,LogSpoolCISecNode_SVPR,PhySpoolDBSecNode_SVPR,PhySpoolCISecNode_SVPR,PhyPermDBSecNode_SVPR,PhyPermCISecNode_SVPR,LogPermReadSecNode_SVPR,LogSpoolReadSecNode_SVPR,LogPermReadMBSecNode_SVPR,LogSpoolReadMBSecNode_SVPR,PhyPermPosReadMBSecNode_SVPR,PhyPermPreReadMBSecNode_SVPR,PhySpoolPosReadMBSecNode_SVPR,PhySpoolPreReadMBSecNode_SVPR,PhyPermPosReadSecNode_SVPR,PhyPermPreReadSecNode_SVPR,PhySpoolPosReadSecNode_SVPR,PhySpoolPreReadSecNode_SVPR,PhyPermWriteSecNode_SVPR,PhySpoolWriteSecNode_SVPR,PhyPermWriteMBSecNode_SVPR,PhySpoolWriteMBSecNode_SVPR,TtlPhyPermReadMBSecNode_SVPR,TtlPhySpoolReadMBSecNode_SVPR,TtlPhyPermWriteMBSecNode_SVPR,TtlPhySpoolWriteMBSecNode_SVPR,TtlPhyPermReadsSecNode_SVPR,TtlPhySpoolReadsSecNode_SVPR,TtlPhyWriteSecNode_SVPR,TtlPhyWriteMBSecNode_SVPR,TtlLogReadMBSecNode_SVPR,TtlPhyReadMBSecNode_SVPR,CylReadRequestsSecNode_SVPR,CylReadSecNode_SVPR,CylReadBlocksSecNode_SVPR,CylReadDenThrSecNode_SVPR,CylReadDenCacheSecNode_SVPR,PermDirtyRelSecNode_SVPR,PermCleanRelSecNode_SVPR,PermDirtyRelMBSecNode_SVPR,PermCleanRelMBSecNode_SVPR,PermAgedWriteMBSecNode_SVPR,SpoolDirtyRelSecNode_SVPR,SpoolCleanRelSecNode_SVPR,SpoolDirtyRelMBSecNode_SVPR,SpoolCleanRelMBSecNode_SVPR,SpoolAgedWriteMBSecNode_SVPR,WALTJWriteMBSecNode_SVPR,WALTJDirtyRelMBSecNode_SVPR,PhysWALTJReadMBSecNode_SVPR,AvgPtPReadsSec,MaxPtPReadsSec,AvgPtPWritesSec,MaxPtPWritesSec,AvgPtPReadMBSec,MaxPtPReadMBSec,AvgPtPWriteMBSec,MaxPtPWriteMBSec,AvgBrdReadsSec,MaxBrdReadsSec,AvgBrdWritesSec,MaxBrdWritesSec,AvgBrdReadMBSec,MaxBrdReadMBSec,AvgBrdWriteMBSec,MaxBrdWriteMBSec,AvgPgSwapInSec,MaxPgSwapInSec,AvgPgSwapOutSec,MaxPgSwapOutSec,AvgHDDReadMBSecNode_SPDSK,MaxHDDReadMBSecNode_SPDSK,AvgHDDWriteMBSecNode_SPDSK,MaxHDDWriteMBSecNode_SPDSK,AvgHDDReadsSecNode_SPDSK,MaxHDDReadsSecNode_SPDSK,AvgHDDWritesSecNode_SPDSK,MaxHDDWritesSecNode_SPDSK,AvgHDDReadResp,MaxHDDReadResp,AvgHDDWriteResp,MaxHDDWriteResp,AvgSSDReadMBSecNode_SPDSK,MaxSSDReadMBSecNode_SPDSK,AvgSSDWriteMBSecNode_SPDSK,MaxSSDWriteMBSecNode_SPDSK,AvgSSDReadsSecNode_SPDSK,MaxSSDReadsSecNode_SPDSK,AvgSSDWritesSecNode_SPDSK,MaxSSDWritesSecNode_SPDSK,AvgSSDReadResp,MaxSSDReadResp,AvgSSDWriteResp,MaxSSDWriteResp,AvgWISSDReadMBSecNode_SPDSK,MaxWISSDReadMBSecNode_SPDSK,AvgWISSDWriteMBSecNode_SPDSK,MaxWISSDWriteMBSecNode_SPDSK,AvgWISSDReadsSecNode_SPDSK,MaxWISSDReadsSecNode_SPDSK,AvgWISSDWritesSecNode_SPDSK,MaxWISSDWritesSecNode_SPDSK,AvgWISSDReadResp,MaxWISSDReadResp,AvgWISSDWriteResp,MaxWISSDWriteResp,AvgRISSDReadMBSecNode_SPDSK,MaxRISSDReadMBSecNode_SPDSK,AvgRISSDWriteMBSecNode_SPDSK,MaxRISSDWriteMBSecNode_SPDSK,AvgRISSDReadsSecNode_SPDSK,MaxRISSDReadsSecNode_SPDSK,AvgRISSDWritesSecNode_SPDSK,MaxRISSDWritesSecNode_SPDSK,AvgRISSDReadResp,MaxRISSDReadResp,AvgRISSDWriteResp,MaxRISSDWriteResp,AvgPECPUBusy,MaxPECPUBusy,AvgGTWCPUBusy,MaxGTWCPUBusy,AvgAMPCPUBusy,MaxAMPCPUBusy,AvgGTW_PECPUBusy,MaxGTW_PECPUBusy,AvgVHAgedOut_SVPR,AvgVHAgedOutMBSecNode_SVPR,AvgLogVHReads_SVPR,AvgLogVHReadMBSecNode_SVPR,AvgPhysVHReads_SVPR,AvgPhysVHReadMBSecNode_SVPR,PreCompMBSecNode_SVPR,PostCompMBSecNode_SVPR,PreUnCompMBSecNode_SVPR,PostUnCompMBSecNode_SVPR,CompDBsSecNode_SVPR,UnCompDBsSecNode_SVPR,COMPCPU,UNCOMPCPU,PctCPUComp,PctCPUUnComp,CompRatioComp_SVPR,CompRatioUnComp_SVPR,TtlTCPUComp_Est1,TtlTCPUUnComp_Est1,TtlTCPUComp_Est2,TtlTCPUUnComp_Est2,TtlTCPUComp_Est3,TtlTCPUUnComp_Est3,CPUMSMBComp,CPUMSMBUnComp,AvgNtwReadMBSecNode,MaxNtwReadMBSecNode,AvgNtwWriteMBSecNode,MaxNtwWriteMBSecNode,TotalNtwReadMBSecNode,TotalNtwWriteMBSecNode,mnl_upld_ind
MENARD INC,MENARDS7,1902205,TD17v2.0,2/19/22,Sat,104000,2/19/22 10:40,10,40,600,7011,48,72,17.10.03.05,100,82,82,504.2,504.2,6,5.637,1.936,87.094,29.689,1.647,4,4,0.559,58.482,75.496,532.925,269.384,569.582,1371.892,470.752,176.802,62.677,133.479,43.323,1060.81,800.874,259.936,3197.55,1616.305,3417.495,170.361,77.886,50.133,100,76.258,70.689,99.993,76.774,97.194,100,99.989,2180.879,497.558,1551.812,2352.219,0,0.263,506.528,13.962,2678.438,3904.031,264.775,291.365,112.377,19.659,0.001,0,520.489,264.586,0.263,0,136.737,2.886,7.925,0.081,132.036,0.001,7.925,0.081,785.075,0.263,273.473,8.005,556.14,132.037,4.798,4.798,284.197,0,0,144.727,1773.335,10.915,202.389,0,1548.838,1.95,217.846,0.008,0,1.392,0,1.442,506.808,183.838,506.621,175.163,24.153,8.863,24.129,8.273,68.96,22.987,11.493,6.323,0.265,0.088,0.044,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.463,46.196,43.309,16.47,802.221,277.143,569.799,195.647,70.358,70,20.201,60,0.166,0.117,0.003,0.001,4.699,1.59,0.168,0.118,0,0,0,0,0,0,28.76,9.599,132.258,454.706,129.481,1548.602,1210531.707,4201651.515,0.467,1.621,2.996,3.438,1.009,3.501,2.157,4.774,0.594,2.78,11.692,2.567,0.019,0.008,0.028,0.015,0.112,0.165,0
MENARD INC,MENARDS7,1902205,TD17v2.0,2/19/22,Sat,211000,2/19/22 21:10,21,10,600,7011,48,72,17.10.03.05,100,82,82,504.2,504.2,6,1.176,0.428,190.712,65.767,0.081,3,3,0.029,36.373,43.677,237.432,4.8,423.742,665.973,241.637,74.343,30.955,32.471,41.872,446.056,194.824,251.232,1424.59,28.8,2542.45,137.265,101.187,38.12,100,46.523,57.634,100,48.461,88.264,100,100,408.691,122.398,117.517,180.151,0,0,210.635,14.364,531.088,297.668,51.266,8.056,31.724,0,0,0,224.999,0,0,0,87.638,0,5.365,0,31.724,0,5.365,0,224.999,0,175.277,5.365,59.322,31.724,4.8,4.8,155.183,0,0,42.068,157.324,4.093,12.203,0,117.517,0,2.427,0,0,1.01,0,0.747,90.796,35.932,90.788,36.642,1.427,0.563,1.425,0.519,24.175,8.058,4.029,1.852,0.049,0.016,0.008,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.458,13.84,41.865,17.117,242.154,91.958,423.835,151.587,8.53,30,14.427,50,0.046,0.052,0.002,0.001,0.434,0.147,0.047,0.052,0,0,0,0,0,0,10.514,3.343,4.068,12.744,32.855,39.446,403244.019,113369.124,0.156,0.044,3.145,3.133,0.336,0.094,0.789,0.134,0.402,0.538,10.653,2.471,0.005,0.003,0.02,0.021,0.031,0.119,0
MENARD INC,MENARDS7,1902205,TD17v2.0,2/18/22,Fri,85000,2/18/22 8:50,8,50,,7011,48,72,17.10.03.05,100,100,100,504.2,504.2,6,0,0,85.67,29.204,0,47,57,0,45.855,66.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MENARD INC,MENARDS7,1902205,TD17v2.0,2/20/22,Sun,14000,2/20/22 1:40,1,40,600,7011,48,72,,100,82,82,504.2,504.2,6,107.872,37.884,31.148,11.386,16.395,274,224,5.888,34.484,41.523,836.493,1046.992,3578.435,5461.92,1845.717,958.221,323.114,397.883,560.338,5749.326,2387.297,3362.029,5018.96,6281.95,21470.61,216.318,160.346,94.437,99.996,96.197,96.725,99.846,97.416,99.91,100,99.657,29837.638,23275.098,3187.168,2602.277,0,8.928,770.924,20.902,53112.736,5789.445,4049.851,1875.572,103.909,121.367,0.082,0,791.826,947.395,8.928,0,1955.263,81.513,239.699,2.348,225.275,0.082,268.042,2.348,1739.221,8.928,3910.527,242.047,5925.423,225.357,18.348,10.357,634.78,7.991,0,2188.116,27334.683,282.979,2996.828,28.343,3186.611,9.452,1821.288,0.096,0,166.932,0,172.526,4122.942,1380.235,4122.03,1383.617,261.803,88.242,261.699,87.963,34.46,11.487,5.743,2.932,0.391,0.13,0.065,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397.874,134.28,561.275,189.497,1883.473,639.527,3579.145,1206.508,455.335,1010,663.912,1010,0.038,0.021,0.003,0.001,105.248,36.97,0.04,0.022,0,0,0,0,0,0,904.537,344.887,3480.05,8509.5,2771.192,30940.432,49771519.16,112880318.6,19.202,43.55,2.623,2.445,41.476,94.067,67.84,89.35,17.977,42.523,15.285,3.685,0.001,0,0.019,0.018,0.006,0.114,0
MENARD INC,MENARDS7,1902205,TD17v2.0,2/17/22,Thu,205000,2/17/22 20:50,20,50,600,7011,48,72,17.10.03.05,100,82,82,504.2,504.2,6,111.177,37.281,18.961,6.369,34.741,108,109,11.794,37.231,36.125,974.658,1319.814,3868.253,6162.726,2073.335,1525.933,513.866,551.239,974.694,9155.598,3307.435,5848.163,5847.95,7918.885,23209.52,246.012,258.02,92.038,61.935,73.484,94.902,72.653,97.903,99.816,100,77.679,5364.845,1492.655,3242.603,3741.123,0,835.038,112.477,2.75,6857.5,6983.727,777.274,1248.753,16.146,45.744,153.239,322.098,115.227,234.34,835.038,1074.779,358.943,2607.217,33.346,692.914,61.889,475.336,34.794,904.033,349.567,1909.818,717.887,726.26,2026.027,537.226,5.445,5.108,627.31,0.337,0,734.052,4634.102,64.527,662.696,1.449,1458.773,193.458,740.26,62.068,211.119,11.544,0,14.013,4623.268,1564.21,4622.677,1582.048,438.546,148.92,438.455,146.815,42.2,14.067,7.033,3.937,0.108,0.036,0.018,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551.239,186.299,974.452,327.127,2294.471,775.732,3858.39,1296.092,565.986,1710,10624.743,12430,0.08,0.084,0.032,0.012,107.849,36.174,0.111,0.095,0,0,0,0,0,0,2015.74,607.867,1790.485,5565.697,2799.88,9366.73,77629920.74,52939749.18,29.95,20.424,3.316,3.108,64.692,44.116,151.18,58.44,2.501,8.161,10.698,2.642,3.853,1.52,0.031,0.023,23.118,0.185,0
MENARD INC,MENARDS7,1902205,TD17v2.0,2/17/22,Thu,204000,2/17/22 20:40,20,40,600,7011,48,72,17.10.03.05,100,82,82,504.2,504.2,6,3.035,1.051,125.808,43.002,0.578,3.5,3,0.215,25.912,43.412,259.653,12.395,777.838,1049.887,363.003,104.624,36.903,45.419,59.205,627.745,272.517,355.228,1557.92,74.37,4667.03,170.96,77.941,60.022,100,85.269,86.799,100,79.93,98.162,100,100,999.674,668.922,590.853,810.956,0,0,200.636,12.298,1668.597,1401.809,103.426,177.262,40.254,1.093,0,0,212.933,7.344,0,0,170.523,6.62,5.825,4.332,41.347,0,5.825,4.332,220.278,0,341.047,10.157,280.688,41.347,4.798,4.798,550.01,0.001,0,314.706,497.761,7.163,36.792,0,584.882,0.028,151.868,0.027,0,2.404,0,4.072,290.671,110.44,290.568,105.092,10.853,4.024,10.846,3.777,63.85,21.283,10.642,5.187,0.166,0.055,0.028,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.426,16.086,59.246,20.827,272.099,96.175,779.328,268.893,14.644,170,39.139,190,0.079,0.06,0.014,0.007,2.135,0.715,0.093,0.066,0,0,0,0,0,0,14.748,4.656,26.879,92.007,40.687,211.363,606469.497,834219.15,0.234,0.322,3.167,3.423,0.505,0.695,1.106,0.966,0.437,1.086,11.423,2.519,0.024,0.009,2.514,1.253,0.141,15.086,0
MENARD INC,MENARDS7,1902205,TD17v2.0,2/17/22,Thu,192000,2/17/22 19:20,19,20,600,7011,48,72,17.10.03.05,100,82,82,504.2,504.2,6,3.35,1.146,85.928,29.85,0.088,3.5,5,0.032,34.145,45.328,225.585,5.347,445.399,676.331,230.402,94.357,33.064,42.77,51.587,566.14,256.62,309.52,1353.51,32.08,2672.395,189.651,118.601,80.696,99.973,82.941,90.426,99.932,90.081,93.388,100,99.974,1986.292,231.46,425.766,613.732,0,0.159,197.028,15.305,2217.752,1039.498,216.342,28.514,41.762,0,0.002,0.006,212.332,0,0.159,0.548,88.362,0.711,4.782,0.008,41.762,0.008,4.782,0.008,212.332,0.707,176.723,4.791,244.856,41.77,4.799,4.799,209.401,0,0,79.858,1710.083,7.148,160.746,0,398.265,13.572,9.123,0.151,0,1.177,0,1,146.511,65.025,146.489,62.362,2.153,0.879,2.151,0.793,36.11,12.037,6.018,2.995,0.118,0.039,0.02,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.775,15.023,51.6,18.036,230.962,80.002,445.707,151.207,10.151,30,15.788,70,0.081,0.066,0.002,0.001,2.529,0.849,0.084,0.067,0,0,0,0,0,0,16.087,5.358,134.627,468.652,54.352,1394.632,659911.527,4231877.349,0.255,1.633,3.003,3.481,0.55,3.527,1.207,4.921,0.359,2.272,11.395,2.508,0.009,0.005,0.027,0.021,0.051,0.16,0
MENARD INC,MENARDS7,1902205,TD17v2.0,2/15/22,Tue,94000,2/15/22 9:40,9,40,600,7011,48,72,17.10.03.05,100,100,100,504.2,504.2,6,120.519,40.439,31.939,10.865,31.838,68.5,493,10.699,54.419,60.307,2470.675,5091.508,6333.963,13896.146,4646.953,1991.245,665.99,1200.866,790.379,11947.469,7205.196,4742.273,14824.05,30549.045,38003.78,162.61,127.779,71.786,99.629,84.239,78.488,99.728,92.567,98.891,100,99.547,30056.274,4150.338,15454.522,22072.112,0.054,99.908,2234.129,46.014,34206.612,37526.635,4149.217,3357.21,571.959,598.699,11.876,0.582,2280.143,5078.488,99.962,2.2,4810.808,195.277,674.525,29.07,1170.658,12.458,711.201,31.523,7358.631,102.162,9621.617,703.595,7506.427,1183.116,4.778,4.741,1622.42,0.037,0,4296.402,25217.61,462.365,3487.915,36.676,15109.58,131.797,2601.683,10.098,2.453,10.328,0,17.752,3475.962,1213.61,3475.069,1184.978,293.04,101.864,292.915,99.176,292.818,97.61,48.793,20.158,2.613,0.871,0.435,0.183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200.568,401.765,790.912,264.493,7559.86,2527.64,6334.359,2117.722,259.742,360,355.723,1190,0.794,0.378,0.072,0.04,116.176,39.012,0.866,0.418,0,0,0,0,0,0,1140.011,425.193,2961.532,8333.737,4006.395,27492.242,61867655.71,101040897.4,23.869,38.982,2.681,2.814,51.556,84.201,85.501,87.504,50.589,43.567,15.075,3.368,0.03,0.013,9.217,5.775,0.18,55.304,0
MENARD INC,MENARDS7,1902205,TD17v2.0,2/20/22,Sun,212000,2/20/22 21:20,21,20,600,7011,48,72,17.10.03.05,100,82,82,504.2,504.2,6,1.096,0.386,197.57,68.348,0.079,3,3,0.03,40.191,45.113,304.678,5.709,461.899,772.287,269.605,75.838,25.96,34.212,41.625,455.027,205.274,249.752,1828.07,34.255,2771.395,112.87,92.281,62.055,99.955,70.292,69.452,99.862,65.947,94.727,100,99.963,835.892,115.911,326.949,457.098,0,0.171,284.646,6.112,951.803,784.048,88.591,24.601,33.616,0,0.002,0.009,290.758,0,0.171,0.912,67.645,1.101,3.946,0.013,33.616,0.011,3.946,0.013,290.758,1.082,135.29,3.96,113.192,33.627,4.8,4.759,109.032,0.041,0,24.588,527.095,1.633,49.958,0,313.544,10.406,10.177,0.121,0,0.979,0,0.586,45.244,17.087,45.216,16.42,1.876,0.711,1.873,0.674,22.68,7.56,3.78,1.858,0.074,0.025,0.012,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.213,11.901,41.628,14.213,310.376,108.517,462.008,162.227,7.862,30,12.778,40,0.045,0.034,0.001,0.001,0.416,0.139,0.046,0.034,0,0,0,0,0,0,1.433,0.401,8.618,24.422,5.458,64.824,48395.04,242730.414,0.019,0.094,3.573,2.834,0.04,0.202,0.107,0.256,0.296,0.93,9.383,2.761,0.002,0.001,0.02,0.011,0.01,0.118,0
MENARD INC,MENARDS7,1902205,TD17v2.0,2/19/22,Sat,210000,2/19/22 21:00,21,0,600,7011,48,72,17.10.03.05,100,82,82,504.2,504.2,6,1.217,0.495,182.548,63.986,0.088,3.5,3,0.03,33.501,40.991,233.006,4.95,472.333,710.289,262.48,73.53,31.497,30.141,43.389,441.178,180.845,260.334,1398.035,29.7,2834,129.705,94.065,42.717,100,50.389,60.469,100,52.503,89.104,100,100,434.806,120.956,117.5,180.088,0,0,206.52,13.179,555.762,297.588,50.608,7.826,28.99,0,0,0,219.699,0,0,0,112.237,0,7.254,0,28.99,0,7.254,0,219.699,0,224.473,7.254,58.435,28.99,4.799,4.799,258.263,0,0,44.75,183.976,4.308,13.987,0,117.5,0,2.199,0,0,1.02,0,1.15,84.714,30.308,84.697,31.933,1.424,0.545,1.423,0.499,22.73,7.577,3.788,1.925,0.047,0.016,0.008,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.14,13.655,43.408,17.851,237.95,94.753,472.538,167.782,8.554,30,14.327,40,0.044,0.045,0.001,0.001,0.388,0.133,0.046,0.045,0,0,0,0,0,0,9.218,3.068,3.597,10.762,28.84,33.394,377323.548,101488.026,0.146,0.039,3.005,2.992,0.314,0.085,0.691,0.113,0.544,0.531,11.37,2.619,0.005,0.002,0.02,0.027,0.028,0.118,0
MENARD INC,MENARDS7,1902205,TD17v2.0,2/20/22,Sun,75000,2/20/22 7:50,7,50,600,7011,48,72,17.10.03.05,100,82,82,504.2,504.2,6,5.945,2.043,58.97,21.136,2.101,56,35,0.743,71.482,76.312,304.612,916.519,487.172,1708.302,587.028,201.852,69.906,154.037,47.816,1211.115,924.221,286.894,1827.67,5499.115,2923.03,129.17,100.505,48.137,99.994,67.452,60.063,99.827,89.736,96.373,100,99.679,2716.404,291.063,672.542,790.545,0,2.537,278.823,10.556,3007.468,1463.087,295.12,175.17,53.031,100.028,0.01,0,289.379,911.724,2.537,0,83.135,9.382,3.741,0.25,153.059,0.01,3.741,0.25,1201.103,2.537,166.27,3.992,470.291,153.069,4.795,4.795,215.993,0,0,102.157,1430.709,7.58,126.023,0,667.609,2.295,150.446,0.009,0,1.213,0,0.968,190.712,69.193,190.637,68.465,14.369,5.058,14.358,5.354,33.655,11.218,5.609,2.283,0.137,0.046,0.023,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.036,52.687,47.765,17.184,1219.53,414.648,484.779,170.763,99.346,60,18.828,50,0.082,0.079,0.002,0.001,5.421,1.848,0.084,0.08,0,0,0,0,0,0,5.511,1.79,227.182,694.754,24.947,2229.669,220113.759,7069857.258,0.085,2.728,3.08,3.058,0.183,5.892,0.413,7.295,0.281,3.099,11.094,2.827,0.004,0.002,0.074,0.117,0.025,0.443,0
MENARD INC,MENARDS7,1902205,TD17v2.0,2/19/22,Sat,83000,2/19/22 8:30,8,30,600,7011,48,72,17.10.03.05,100,82,82,504.2,504.2,6,4.646,2.416,89.657,42.667,0.052,3.5,3,0.019,34.565,44.183,250.875,4.391,483.242,738.508,253.727,79.33,29.431,35.05,44.28,475.98,210.302,265.678,1505.25,26.345,2899.45,140.604,93.83,81.468,100,88.299,92.784,100,92.306,97.558,100,100,3022.124,302.652,803.048,1289.293,0,0,232.526,7.392,3324.777,2092.341,179.048,104.525,33.181,0,0,0,239.918,0.004,0,0,131.208,0.073,8.852,0.002,33.181,0,8.852,0.002,239.922,0,262.415,8.854,283.573,33.181,5.608,4.337,351.868,1.272,0,70.452,2714.352,4.703,131.858,0,796.106,0,64.204,0,0,0.65,0,1.87,237.727,88.478,237.652,86.627,9.14,3.487,9.134,3.211,48.23,16.077,8.038,3.86,0.17,0.057,0.028,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.044,13.292,44.276,16.144,255.201,90.158,483.382,164.728,8.341,30,14.123,40,0.105,0.069,0.002,0.001,3.81,2.108,0.106,0.07,0,0,0,0,0,0,11.24,3.744,119.518,735.858,57.058,2547.268,466825.518,3297079.095,0.18,1.272,3.002,6.157,0.389,2.748,0.843,7.727,0.664,1.88,11.537,1.245,0.008,0.004,0.03,0.017,0.049,0.181,0
MENARD INC,MENARDS7,1902205,TD17v2.0,2/18/22,Fri,33000,2/18/22 3:30,3,30,600,7011,48,72,17.10.03.05,100,82,82,504.2,504.2,6,7.664,3.372,50.895,19.292,0.082,140,48,0.03,40.799,47.396,285.722,24.735,450.48,760.937,273.43,86.491,30.867,40.994,45.497,518.948,245.963,272.985,1714.33,148.41,2702.88,135.213,103.422,69.628,100,86.902,81.381,100,78.542,97.438,100,100,1238.612,338.586,308.596,264.774,0,0,265.776,8.675,1577.198,573.37,131.364,173.257,37.976,1.922,0,0,274.451,19.212,0,0,72.796,6.915,4.784,0.216,39.898,0,4.784,0.216,293.662,0,145.592,5,304.622,39.898,6.142,5.294,197.542,0.848,0,51.244,926.09,3.158,80.36,0,370.592,0,226.602,0,0,0.742,0,1.097,220.842,172.992,220.822,148.753,2.004,0.758,2.002,1.123,170.495,56.832,28.416,27.433,0.25,0.083,0.042,0.039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.978,14.915,45.646,16.226,310.328,115.747,450.512,169.457,8.621,70,12.172,50,0.432,0.847,0.004,0.005,6.469,3.124,0.436,0.847,0,0,0,0,0,0,3.761,1.225,68.83,264.439,15.998,593.87,145024.08,1645506.21,0.056,0.635,3.071,3.842,0.121,1.371,0.282,2.777,0.359,1.379,10.712,1.729,0.004,0.006,0.022,0.017,0.022,0.13,0
MENARD INC,MENARDS7,1902205,TD17v2.0,2/18/22,Fri,194000,2/18/22 19:40,19,40,600,7011,48,72,17.10.03.05,100,82,82,504.2,504.2,6,2.055,0.711,120.607,41.178,0.087,4,7,0.03,33.615,42.308,252.412,4.795,507.952,765.158,265.507,92.629,36.075,39.19,53.439,555.773,235.139,320.634,1514.47,28.77,3047.71,156.024,107.73,64.839,100,68.708,74.651,100,69.501,97.735,100,100,775.268,172.975,238.195,353.668,0,0,236.451,3.918,948.243,591.863,108.984,13.476,38.32,0,0,0,240.368,0,0,0,128.916,0,9.883,0,38.32,0,9.883,0,240.368,0,257.832,9.883,122.46,38.32,4.795,4.795,178.675,0,0,64.728,474.578,6.305,59.128,0,226.978,0,2.379,0,0,1.105,0,0.87,130.184,49.337,130.152,51.352,1.553,0.6,1.55,0.547,27.885,9.295,4.648,3.027,0.075,0.025,0.012,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.186,15.788,53.441,20.286,257.193,95.875,508.139,175.548,9.463,30,15.226,80,0.059,0.043,0.002,0.001,1.289,0.432,0.061,0.044,0,0,0,0,0,0,16.129,5.406,50.419,151.859,54.099,351.701,669376.479,1474543.113,0.258,0.569,2.983,3.012,0.558,1.229,1.21,1.595,0.741,1.144,11.528,2.697,0.008,0.004,0.024,0.017,0.048,0.144,0
